GEOID,income,ba_rate,pop_density,retail_density,distance,score
6037620601,123234.0,0.572,4365.8,20.5,0.263,0.792
6037480704,114216.0,0.652,3824.9,16.83,0.364,0.733
6037702201,110573.0,0.669,3329.4,22.42,0.458,0.686
6037700802,116588.0,0.599,5924.1,17.51,0.473,0.679
6037310300,136227.0,0.597,2860.6,21.67,0.525,0.656
6037621301,117529.0,0.64,4575.9,12.8,0.569,0.637
6037700901,105686.0,0.696,3960.8,18.03,0.573,0.636
6037621324,114294.0,0.719,5615.9,17.2,0.602,0.624
6037577200,108071.0,0.62,5794.2,14.24,0.681,0.595
6037554519,121399.0,0.562,1995.2,15.82,0.686,0.593
